combo_key,members_names,members_families,members_run_dirs,n_models,acc_Luke,acc_Marco,acc_Falah,avg_acc,min_acc,std_acc
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4,ResNet50 + DenseNet161,ResNet + DenseNet,~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4 | ~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33,2,0.9913995308835029,0.9791666666666666,0.990625,0.9870637325167232,0.9791666666666666,0.005593014172606853
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115,DenseNet161 + ResNeXt101_32x8d,DenseNet + ResNeXt,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33 | ~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115,2,0.9921813917122752,0.9758333333333332,0.99140625,0.9864736583485362,0.9758333333333332,0.007530497924678994
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/VGG16/86e629fd03,DenseNet161 + VGG16,DenseNet + VGG,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33 | ~/Alzheimers/Results/ArchSweep/VGG16/86e629fd03,2,0.9913995308835029,0.9758333333333332,0.9921875,0.9864734547389453,0.9758333333333332,0.007530575961893068
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/VGG16/438cb55e58,DenseNet161 + VGG16,DenseNet + VGG,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33 | ~/Alzheimers/Results/ArchSweep/VGG16/438cb55e58,2,0.9921813917122752,0.9675,0.98671875,0.9821333805707585,0.9675,0.010584957370900094
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,DenseNet161 + VGG16,DenseNet + VGG,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33 | ~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,2,0.9937451133698202,0.9625,0.9921875,0.9828108711232734,0.9625,0.01437602527803672
~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4||~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,ResNet50 + VGG16,ResNet + VGG,~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4 | ~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,2,0.9913995308835029,0.9608333333333332,0.9921875,0.9814734547389454,0.9608333333333332,0.014598314573058196
~/Alzheimers/Results/ArchSweep/DenseNet201/c831e5b896||~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115,DenseNet201 + ResNeXt101_32x8d,DenseNet + ResNeXt,~/Alzheimers/Results/ArchSweep/DenseNet201/c831e5b896 | ~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115,2,0.9898358092259578,0.9591666666666666,0.996875,0.9819591586308748,0.9591666666666666,0.016370925837028094
~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115||~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,ResNeXt101_32x8d + VGG16,ResNeXt + VGG,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115 | ~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,2,0.9898358092259578,0.9591666666666666,0.99609375,0.9816987419642081,0.9591666666666666,0.016136114125224737
~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33||~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61,ResNet101 + DenseNet161,ResNet + DenseNet,~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61 | ~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33,2,0.9921813917122752,0.9591666666666666,0.98828125,0.979876436126314,0.9591666666666666,0.014730324496261953
~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f||~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4,ResNet50 + DenseNet201,ResNet + DenseNet,~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4 | ~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f,2,0.9929632525410476,0.9575,0.9921875,0.9808835841803493,0.9575,0.01653772364103441
