name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split
DenseNet161 (5e45b5),single_arch,DenseNet,DenseNet161,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9907271839921912,20,0.989071038251366,~/Alzheimers/Results/ArchSweep/DenseNet161/5e45b5ea33,5e45b5ea33,20,0.2
DenseNet201 (c831e5),single_arch,DenseNet,DenseNet201,224,6,16,0.0001,0.2,0.0001,0.03,0.990239141044412,20,0.9882903981264636,~/Alzheimers/Results/ArchSweep/DenseNet201/c831e5b896,c831e5b896,20,0.2
DenseNet201 (6cc31b),single_arch,DenseNet,DenseNet201,224,6,16,5e-05,0.0,0.0001,0.03,0.990239141044412,19,0.9867291178766588,~/Alzheimers/Results/ArchSweep/DenseNet201/6cc31bb89f,6cc31bb89f,20,0.2
ResNet101 (7e6138),single_arch,ResNet,ResNet101,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9887750122010736,20,0.9867291178766588,~/Alzheimers/Results/ArchSweep/ResNet101/7e613879ca,7e613879ca,20,0.2
DenseNet169 (86681f),single_arch,DenseNet,DenseNet169,224,6,16,0.0001,0.0,0.0001,0.03,0.9882869692532944,18,0.9867291178766588,~/Alzheimers/Results/ArchSweep/DenseNet169/86681fbf46,86681fbf46,20,0.2
DenseNet161 (3edebe),single_arch,DenseNet,DenseNet161,224,6,16,5e-05,0.0,0.0001,0.03,0.99170326988775,19,0.985167837626854,~/Alzheimers/Results/ArchSweep/DenseNet161/3edebe0d86,3edebe0d86,20,0.2
DenseNet161 (5a41a8),single_arch,DenseNet,DenseNet161,224,6,16,5e-05,0.2,0.0001,0.03,0.990239141044412,16,0.985167837626854,~/Alzheimers/Results/ArchSweep/DenseNet161/5a41a86d35,5a41a86d35,20,0.2
DenseNet201 (de29a5),single_arch,DenseNet,DenseNet201,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9892630551488532,20,0.985167837626854,~/Alzheimers/Results/ArchSweep/DenseNet201/de29a5496f,de29a5496f,20,0.2
ResNeXt50_32x4d (7e8463),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,0.0001,0.0,0.0001,0.03,0.99170326988775,19,0.9843871975019516,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/7e84631050,7e84631050,20,0.2
DenseNet201 (d030e4),single_arch,DenseNet,DenseNet201,224,6,16,5e-05,0.2,0.0001,0.03,0.99170326988775,19,0.9836065573770492,~/Alzheimers/Results/ArchSweep/DenseNet201/d030e480be,d030e480be,20,0.2
DenseNet169 (d3dd6f),single_arch,DenseNet,DenseNet169,224,6,16,5e-05,0.2,0.0001,0.03,0.9912152269399708,15,0.9836065573770492,~/Alzheimers/Results/ArchSweep/DenseNet169/d3dd6f5210,d3dd6f5210,20,0.2
ResNeXt101_32x8d (3267f6),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9907271839921912,16,0.9836065573770492,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/3267f67289,3267f67289,20,0.2
DenseNet121 (cf9625),single_arch,DenseNet,DenseNet121,224,6,16,0.0001,0.2,0.0001,0.03,0.990239141044412,16,0.9836065573770492,~/Alzheimers/Results/ArchSweep/DenseNet121/cf96250e85,cf96250e85,20,0.2
DenseNet161 (5f3720),single_arch,DenseNet,DenseNet161,224,6,16,0.0001,0.2,0.0001,0.03,0.9892630551488532,20,0.9836065573770492,~/Alzheimers/Results/ArchSweep/DenseNet161/5f3720ee6b,5f3720ee6b,20,0.2
ResNeXt101_32x8d (577e0d),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9887750122010736,20,0.9828259172521469,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/577e0db115,577e0db115,20,0.2
ResNeXt101_32x8d (4d5ab4),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,5e-05,0.0,0.0001,0.03,0.9912152269399708,18,0.9820452771272444,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/4d5ab4b07b,4d5ab4b07b,20,0.2
MobileNetV3_L (996475),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,0.0001,0.0,0.0001,0.03,0.9848706686188384,20,0.981264637002342,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/996475d664,996475d664,20,0.2
VGG16 (90df09),single_arch,VGG,VGG16,224,6,16,0.0001,0.3,0.0001,0.03,0.990239141044412,20,0.9804839968774396,~/Alzheimers/Results/ArchSweep/VGG16/90df091f5f,90df091f5f,20,0.2
ResNeXt50_32x4d (461654),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,0.0001,0.2,0.0001,0.03,0.9897510980966324,16,0.9804839968774396,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/461654d2fe,461654d2fe,20,0.2
DenseNet201 (9b7495),single_arch,DenseNet,DenseNet201,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9897510980966324,19,0.9797033567525372,~/Alzheimers/Results/ArchSweep/DenseNet201/9b749534c0,9b749534c0,20,0.2
DenseNet161 (9b8bd7),single_arch,DenseNet,DenseNet161,224,6,16,0.0001,0.0,0.0001,0.03,0.9887750122010736,16,0.9797033567525372,~/Alzheimers/Results/ArchSweep/DenseNet161/9b8bd7ed1b,9b8bd7ed1b,20,0.2
ResNeXt101_32x8d (fce2bb),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,5e-05,0.2,0.0001,0.03,0.9887750122010736,20,0.9797033567525372,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/fce2bbfe5f,fce2bbfe5f,20,0.2
DenseNet201 (a70f7a),single_arch,DenseNet,DenseNet201,224,6,16,0.0001,0.0,0.0001,0.03,0.9882869692532944,20,0.9797033567525372,~/Alzheimers/Results/ArchSweep/DenseNet201/a70f7a6bd0,a70f7a6bd0,20,0.2
ResNet50 (bc9b7f),single_arch,ResNet,ResNet50,224,6,16,0.0001,0.0,0.0001,0.03,0.9877989263055148,20,0.9797033567525372,~/Alzheimers/Results/ArchSweep/ResNet50/bc9b7fdcd4,bc9b7fdcd4,20,0.2
ResNet101 (569dcf),single_arch,ResNet,ResNet101,224,6,16,0.0001,0.0,0.0001,0.03,0.9848706686188384,18,0.9797033567525372,~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61,569dcf7f61,20,0.2
ResNeXt50_32x4d (f36fd9),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,5e-05,0.2,0.0001,0.03,0.9912152269399708,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/f36fd9955f,f36fd9955f,20,0.2
DenseNet161 (305f0a),single_arch,DenseNet,DenseNet161,224,6,16,2.5e-05,0.2,0.0001,0.03,0.990239141044412,20,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet161/305f0ad1f4,305f0ad1f4,20,0.2
DenseNet121 (d3c75f),single_arch,DenseNet,DenseNet121,224,6,16,0.0001,0.0,0.0001,0.03,0.9897510980966324,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet121/d3c75f4a9e,d3c75f4a9e,20,0.2
DenseNet121 (c19e4c),single_arch,DenseNet,DenseNet121,224,6,16,5e-05,0.0,0.0001,0.03,0.9892630551488532,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet121/c19e4c0a49,c19e4c0a49,20,0.2
ResNeXt101_32x8d (2e5a32),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,0.0001,0.2,0.0001,0.03,0.9892630551488532,20,0.9789227166276346,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/2e5a3200c0,2e5a3200c0,20,0.2
ResNet152 (8e0365),single_arch,ResNet,ResNet152,224,6,16,5e-05,0.0,0.0001,0.03,0.985358711566618,20,0.9781420765027322,~/Alzheimers/Results/ArchSweep/ResNet152/8e03657098,8e03657098,20,0.2
ResNet152 (3ea4a4),single_arch,ResNet,ResNet152,224,6,16,0.0001,0.2,0.0001,0.03,0.99170326988775,16,0.9773614363778298,~/Alzheimers/Results/ArchSweep/ResNet152/3ea4a43ce9,3ea4a43ce9,20,0.2
DenseNet169 (dd0039),single_arch,DenseNet,DenseNet169,224,6,16,5e-05,0.0,0.0001,0.03,0.9936554416788678,18,0.9765807962529274,~/Alzheimers/Results/ArchSweep/DenseNet169/dd00390fc5,dd00390fc5,20,0.2
MobileNetV3_L (928704),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,0.0001,0.2,0.0001,0.03,0.9882869692532944,16,0.9765807962529274,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,928704d880,20,0.2
ResNet101 (7bf3cc),single_arch,ResNet,ResNet101,224,6,16,5e-05,0.2,0.0001,0.03,0.985358711566618,19,0.975800156128025,~/Alzheimers/Results/ArchSweep/ResNet101/7bf3cce953,7bf3cce953,20,0.2
