name,arch,family,source,cfg_hash,run_dir,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,test_acc__main,precision__main,recall__main,f1__main,test_acc__Luke,test_acc__Marco
DenseNet201 (e1fb67),DenseNet201,DenseNet,single_arch,e1fb67d4e0,~/Alzheimers/Results/Singles_Falah/DenseNet201/e1fb67d4e0,224,11,32,5e-05,0.3,0.0001,0.05,0.985167837626854,,,,0.9984387197501952,0.9691666666666666
ResNet152 (b54d91),ResNet152,ResNet,single_arch,b54d916372,~/Alzheimers/Results/Singles_Falah/ResNet152/b54d916372,224,11,32,5e-05,0.3,0.0001,0.05,0.985167837626854,,,,0.9875097580015612,0.9541666666666668
ResNet101 (00c217),ResNet101,ResNet,single_arch,00c217409f,~/Alzheimers/Results/Singles_Falah/ResNet101/00c217409f,224,11,32,5e-05,0.3,0.0001,0.05,0.9820452771272444,,,,0.9875097580015612,0.9141666666666668
ResNeXt101_32x8d (8dc5e5),ResNeXt101_32x8d,ResNeXt,single_arch,8dc5e53fdd,~/Alzheimers/Results/Singles_Falah/ResNeXt101_32x8d/8dc5e53fdd,224,11,32,5e-05,0.3,0.0001,0.05,0.9773614363778298,,,,0.990632318501171,0.8625
ResNeXt50_32x4d (eb48f7),ResNeXt50_32x4d,ResNeXt,single_arch,eb48f7ff32,~/Alzheimers/Results/Singles_Falah/ResNeXt50_32x4d/eb48f7ff32,224,11,32,5e-05,0.3,0.0001,0.05,0.975800156128025,,,,0.9898516783762684,0.9625
ResNet50 (eed3bb),ResNet50,ResNet,single_arch,eed3bbda52,~/Alzheimers/Results/Singles_Falah/ResNet50/eed3bbda52,224,11,32,5e-05,0.3,0.0001,0.05,0.9750195160031224,,,,0.9875097580015612,0.9266666666666666
DenseNet161 (e2f2c4),DenseNet161,DenseNet,single_arch,e2f2c40e66,~/Alzheimers/Results/Singles_Falah/DenseNet161/e2f2c40e66,224,11,32,5e-05,0.3,0.0001,0.05,0.9711163153786104,,,,0.989071038251366,0.9475
InceptionV3 (9cf706),InceptionV3,Inception,single_arch,9cf70656d9,~/Alzheimers/Results/Singles_Falah/InceptionV3/9cf70656d9,299,5,32,5e-05,0.3,0.0001,0.05,0.966432474629196,,,,0.9828259172521469,0.9066666666666666
VGG16 (708727),VGG16,VGG,single_arch,708727df98,~/Alzheimers/Results/Singles_Falah/VGG16/708727df98,224,11,32,5e-05,0.3,0.0001,0.05,0.9656518345042936,,,,0.9750195160031224,0.9391666666666668
DenseNet121 (1096ae),DenseNet121,DenseNet,single_arch,1096aeec6c,~/Alzheimers/Results/Singles_Falah/DenseNet121/1096aeec6c,224,11,32,5e-05,0.3,0.0001,0.05,0.9656518345042936,,,,0.9773614363778298,0.9216666666666666
DenseNet169 (fcf2b6),DenseNet169,DenseNet,single_arch,fcf2b63f9e,~/Alzheimers/Results/Singles_Falah/DenseNet169/fcf2b63f9e,224,11,32,5e-05,0.3,0.0001,0.05,0.9625292740046838,,,,0.981264637002342,0.9133333333333332
EffNetB0 (4b7d98),EffNetB0,EffNet,single_arch,4b7d9889be,~/Alzheimers/Results/Singles_Falah/EffNetB0/4b7d9889be,224,11,32,5e-05,0.3,0.0001,0.05,0.936768149882904,,,,0.9679937548790007,0.685
MobileNetV2 (fbdea4),MobileNetV2,MobileNetV2,single_arch,fbdea42b98,~/Alzheimers/Results/Singles_Falah/MobileNetV2/fbdea42b98,224,11,32,5e-05,0.3,0.0001,0.05,0.9305230288836848,,,,0.9726775956284152,0.72
MobileNetV3_L (d44d59),MobileNetV3_L,MobileNetV3,single_arch,d44d59d55e,~/Alzheimers/Results/Singles_Falah/MobileNetV3_L/d44d59d55e,224,11,32,5e-05,0.3,0.0001,0.05,0.9242779078844652,,,,0.9672131147540984,0.7766666666666666
CNN_Small (116c12),CNN_Small,CNN_Small,single_arch,116c12a036,~/Alzheimers/Results/Singles_Falah/CNN_Small/116c12a036,224,11,32,5e-05,0.3,0.0001,0.05,0.5136612021857924,,,,0.5136612021857924,0.5133333333333333
