name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split,acc_LukeTest,acc_FalahTest
DenseNet201 (e1fb67),single_arch,DenseNet,DenseNet201,224,11,32,5e-05,0.3,0.0001,0.05,0.9903938520653218,20,0.9916666666666668,~/Alzheimers/Results/Singles_Marco/DenseNet201/e1fb67d4e0,e1fb67d4e0,20,0.2,0.9828259172521469,0.990632318501171
VGG16 (708727),single_arch,VGG,VGG16,224,11,32,5e-05,0.3,0.0001,0.05,0.989433237271854,19,0.9891666666666666,~/Alzheimers/Results/Singles_Marco/VGG16/708727df98,708727df98,20,0.2,0.985167837626854,0.9734582357533176
ResNeXt50_32x4d (eb48f7),single_arch,ResNeXt,ResNeXt50_32x4d,224,11,32,5e-05,0.3,0.0001,0.05,0.9884726224783862,19,0.9891666666666666,~/Alzheimers/Results/Singles_Marco/ResNeXt50_32x4d/eb48f7ff32,eb48f7ff32,20,0.2,0.9914129586260734,0.9921935987509758
DenseNet161 (e2f2c4),single_arch,DenseNet,DenseNet161,224,11,32,5e-05,0.3,0.0001,0.05,0.9875120076849184,20,0.9875,~/Alzheimers/Results/Singles_Marco/DenseNet161/e2f2c40e66,e2f2c40e66,20,0.2,0.95160031225605,0.966432474629196
ResNet101 (00c217),single_arch,ResNet,ResNet101,224,11,32,5e-05,0.3,0.0001,0.05,0.9798270893371758,19,0.9875,~/Alzheimers/Results/Singles_Marco/ResNet101/00c217409f,00c217409f,20,0.2,0.9648711943793912,0.9875097580015612
InceptionV3 (9cf706),single_arch,Inception,InceptionV3,299,5,32,5e-05,0.3,0.0001,0.05,0.9913544668587896,19,0.9866666666666668,~/Alzheimers/Results/Singles_Marco/InceptionV3/9cf70656d9,9cf70656d9,20,0.2,0.9063231850117096,0.8891491022638564
ResNet50 (eed3bb),single_arch,ResNet,ResNet50,224,11,32,5e-05,0.3,0.0001,0.05,0.9884726224783862,20,0.9866666666666668,~/Alzheimers/Results/Singles_Marco/ResNet50/eed3bbda52,eed3bbda52,20,0.2,0.9016393442622952,0.942232630757221
DenseNet169 (fcf2b6),single_arch,DenseNet,DenseNet169,224,11,32,5e-05,0.3,0.0001,0.05,0.9951969260326607,20,0.9858333333333332,~/Alzheimers/Results/Singles_Marco/DenseNet169/fcf2b63f9e,fcf2b63f9e,20,0.2,0.9718969555035128,0.9820452771272444
DenseNet121 (1096ae),single_arch,DenseNet,DenseNet121,224,11,32,5e-05,0.3,0.0001,0.05,0.9855907780979828,19,0.9858333333333332,~/Alzheimers/Results/Singles_Marco/DenseNet121/1096aeec6c,1096aeec6c,20,0.2,0.9313036690085872,0.975800156128025
ResNeXt101_32x8d (8dc5e5),single_arch,ResNeXt,ResNeXt101_32x8d,224,11,32,5e-05,0.3,0.0001,0.05,0.9875120076849184,17,0.9825,~/Alzheimers/Results/Singles_Marco/ResNeXt101_32x8d/8dc5e53fdd,8dc5e53fdd,20,0.2,0.9726775956284152,0.9914129586260734
ResNet152 (b54d91),single_arch,ResNet,ResNet152,224,11,32,5e-05,0.3,0.0001,0.05,0.9875120076849184,19,0.975,~/Alzheimers/Results/Singles_Marco/ResNet152/b54d916372,b54d916372,20,0.2,0.9687743950039032,0.9921935987509758
MobileNetV2 (fbdea4),single_arch,MobileNetV2,MobileNetV2,224,11,32,5e-05,0.3,0.0001,0.05,0.9317963496637848,19,0.9358333333333332,~/Alzheimers/Results/Singles_Marco/MobileNetV2/fbdea42b98,fbdea42b98,20,0.2,0.8758782201405152,0.9000780640124902
MobileNetV3_L (d44d59),single_arch,MobileNetV3,MobileNetV3_L,224,11,32,5e-05,0.3,0.0001,0.05,0.926032660902978,19,0.9283333333333332,~/Alzheimers/Results/Singles_Marco/MobileNetV3_L/d44d59d55e,d44d59d55e,20,0.2,0.8227946916471507,0.8376268540202967
EffNetB0 (4b7d98),single_arch,EffNet,EffNetB0,224,11,32,5e-05,0.3,0.0001,0.05,0.9212295869356388,20,0.9175,~/Alzheimers/Results/Singles_Marco/EffNetB0/4b7d9889be,4b7d9889be,20,0.2,0.9437939110070258,0.9156908665105388
CNN_Small (116c12),single_arch,CNN_Small,CNN_Small,224,11,32,5e-05,0.3,0.0001,0.05,0.515850144092219,11,0.515,~/Alzheimers/Results/Singles_Marco/CNN_Small/116c12a036,116c12a036,20,0.2,0.5089773614363778,0.5191256830601093
