name,arch,family,source,cfg_hash,run_dir,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,test_acc__main,precision__main,recall__main,f1__main,test_acc__Luke,test_acc__Falah
DenseNet201 (e1fb67),DenseNet201,DenseNet,single_arch,e1fb67d4e0,~/Alzheimers/Results/Singles_Marco/DenseNet201/e1fb67d4e0,224,11,32,5e-05,0.3,0.0001,0.05,0.9916666666666668,,,,0.9828259172521469,0.990632318501171
ResNeXt50_32x4d (eb48f7),ResNeXt50_32x4d,ResNeXt,single_arch,eb48f7ff32,~/Alzheimers/Results/Singles_Marco/ResNeXt50_32x4d/eb48f7ff32,224,11,32,5e-05,0.3,0.0001,0.05,0.9891666666666666,,,,0.9914129586260734,0.9921935987509758
VGG16 (708727),VGG16,VGG,single_arch,708727df98,~/Alzheimers/Results/Singles_Marco/VGG16/708727df98,224,11,32,5e-05,0.3,0.0001,0.05,0.9891666666666666,,,,0.985167837626854,0.9734582357533176
ResNet101 (00c217),ResNet101,ResNet,single_arch,00c217409f,~/Alzheimers/Results/Singles_Marco/ResNet101/00c217409f,224,11,32,5e-05,0.3,0.0001,0.05,0.9875,,,,0.9648711943793912,0.9875097580015612
DenseNet161 (e2f2c4),DenseNet161,DenseNet,single_arch,e2f2c40e66,~/Alzheimers/Results/Singles_Marco/DenseNet161/e2f2c40e66,224,11,32,5e-05,0.3,0.0001,0.05,0.9875,,,,0.95160031225605,0.966432474629196
InceptionV3 (9cf706),InceptionV3,Inception,single_arch,9cf70656d9,~/Alzheimers/Results/Singles_Marco/InceptionV3/9cf70656d9,299,5,32,5e-05,0.3,0.0001,0.05,0.9866666666666668,,,,0.9063231850117096,0.8891491022638564
ResNet50 (eed3bb),ResNet50,ResNet,single_arch,eed3bbda52,~/Alzheimers/Results/Singles_Marco/ResNet50/eed3bbda52,224,11,32,5e-05,0.3,0.0001,0.05,0.9866666666666668,,,,0.9016393442622952,0.942232630757221
DenseNet169 (fcf2b6),DenseNet169,DenseNet,single_arch,fcf2b63f9e,~/Alzheimers/Results/Singles_Marco/DenseNet169/fcf2b63f9e,224,11,32,5e-05,0.3,0.0001,0.05,0.9858333333333332,,,,0.9718969555035128,0.9820452771272444
DenseNet121 (1096ae),DenseNet121,DenseNet,single_arch,1096aeec6c,~/Alzheimers/Results/Singles_Marco/DenseNet121/1096aeec6c,224,11,32,5e-05,0.3,0.0001,0.05,0.9858333333333332,,,,0.9313036690085872,0.975800156128025
ResNeXt101_32x8d (8dc5e5),ResNeXt101_32x8d,ResNeXt,single_arch,8dc5e53fdd,~/Alzheimers/Results/Singles_Marco/ResNeXt101_32x8d/8dc5e53fdd,224,11,32,5e-05,0.3,0.0001,0.05,0.9825,,,,0.9726775956284152,0.9914129586260734
ResNet152 (b54d91),ResNet152,ResNet,single_arch,b54d916372,~/Alzheimers/Results/Singles_Marco/ResNet152/b54d916372,224,11,32,5e-05,0.3,0.0001,0.05,0.975,,,,0.9687743950039032,0.9921935987509758
MobileNetV2 (fbdea4),MobileNetV2,MobileNetV2,single_arch,fbdea42b98,~/Alzheimers/Results/Singles_Marco/MobileNetV2/fbdea42b98,224,11,32,5e-05,0.3,0.0001,0.05,0.9358333333333332,,,,0.8758782201405152,0.9000780640124902
MobileNetV3_L (d44d59),MobileNetV3_L,MobileNetV3,single_arch,d44d59d55e,~/Alzheimers/Results/Singles_Marco/MobileNetV3_L/d44d59d55e,224,11,32,5e-05,0.3,0.0001,0.05,0.9283333333333332,,,,0.8227946916471507,0.8376268540202967
EffNetB0 (4b7d98),EffNetB0,EffNet,single_arch,4b7d9889be,~/Alzheimers/Results/Singles_Marco/EffNetB0/4b7d9889be,224,11,32,5e-05,0.3,0.0001,0.05,0.9175,,,,0.9437939110070258,0.9156908665105388
CNN_Small (116c12),CNN_Small,CNN_Small,single_arch,116c12a036,~/Alzheimers/Results/Singles_Marco/CNN_Small/116c12a036,224,11,32,5e-05,0.3,0.0001,0.05,0.515,,,,0.5089773614363778,0.5191256830601093
